sample,threshold,window,inference,horizon,beta_VRP,beta_deltaVRP,R2,N,t_VRP,t_deltaVRP,se_deltaVRP
POST_2008_full,0.95,504,Hodrick,1,0.0681021333139452,0.0591301178848077,0.0060149851395393,220,0.2971761066251954,0.1934028886359683,
POST_2008_full,0.95,504,Hodrick,3,0.63445438203758,0.6904170968070223,0.0502798023880324,218,2.613598499443466,3.4561351197926826,
POST_2008_full,0.95,504,Hodrick,6,0.7180212263898521,0.8350511537941149,0.0500457654982253,215,2.3369603167225854,1.444618112929302,
POST_2008_full,0.85,756,Hodrick,1,0.0513171214474196,0.028411867607293,0.0066334277847225,220,0.3533432443359853,0.4639995196096252,
POST_2008_full,0.85,756,Hodrick,3,0.2399959913659257,0.1023797265206363,0.0313035565463571,218,0.7489139792149386,0.705189066577101,
POST_2008_full,0.85,756,Hodrick,6,0.2679102151182574,0.1549952690823913,0.0394973299540244,215,0.759014753400755,0.7501281387653059,
POST_2008_full,0.9,756,Hodrick,1,0.0498000631081534,0.033409318429478,0.0059880614426903,220,0.2855352587142406,0.1920686148349958,
POST_2008_full,0.9,756,Hodrick,3,0.2182351855970577,0.0968203910182131,0.0275895610531787,218,0.618132402378852,0.2970704945765191,
POST_2008_full,0.9,756,Hodrick,6,0.2176302748736999,0.1214955835822583,0.0352392521037634,215,0.575213738761071,0.2660540509928915,
POST_2008_full,0.95,756,Hodrick,1,0.0262499640423619,-0.0011246281721742,0.0055120823024165,220,0.1765945781455055,-0.0049223261840141,
POST_2008_full,0.95,756,Hodrick,3,0.2488618956446117,0.2202432512678586,0.0312604060346733,218,0.9552974088970246,1.0539361755812953,
POST_2008_full,0.95,756,Hodrick,6,0.1547595083413291,0.0474268588177095,0.0343508178864225,215,0.6295589443224742,0.1107831689351509,
